 player_id, player, team, position,min,max,ADP,count
14806,"Perine, Lamical",NYJ,RB,234,234,234,1
517,"Giants, New York",NYG,Def,235,235,235,1
12197,"Perriman, Breshad",DET,WR,236,236,236,1
11193,"Bernard, Giovani",TBB,RB,237,237,237,1
13679,"Herndon, Chris",NYJ,TE,238,238,238,1
15242,"Trask, Kyle",TBB,QB,239,239,239,1
10261,"Green, A.J.",ARI,WR,240,240,240,1
521,"Bears, Chicago",CHI,Def,242,242,242,1
13168,"Reynolds, Josh",TEN,WR,243,243,243,1
14983,"Bass, Tyler",BUF,PK,244,244,244,1
523,"Packers, Green Bay",GBP,Def,245,245,245,1
505,"Jets, New York",NYJ,Def,247,247,247,1
13620,"Jackson, Justin",LAC,RB,248,248,248,1
14839,"Reagor, Jalen",PHI,WR,249,249,249,1
12152,"Coleman, Tevin",NYJ,RB,250,250,250,1
14112,"Campbell, Parris",IND,WR,251,251,251,1
514,"Chargers, Los Angeles",LAC,Def,253,253,253,1
9686,"Succop, Ryan",TBB,PK,255,255,255,1
13378,"Breida, Matt",BUF,RB,256,256,256,1
518,"Eagles, Philadelphia",PHI,Def,257,257,257,1
13793,"Valdes-Scantling, Marquez",GBP,WR,258,258,258,1
516,"Cowboys, Dallas",DAL,Def,259,259,259,1
11783,"Brown, John",LVR,WR,260,260,260,1
13880,"Arnold, Dan",CAR,TE,261,261,261,1
14837,"Hamler, KJ",DEN,WR,262,262,262,1
11761,"McKinnon, Jerick",KCC,RB,263,263,263,1
506,"Bengals, Cincinnati",CIN,Def,264,264,264,1
12437,"Myers, Jason",SEA,PK,265,265,265,1
14123,"Renfrow, Hunter",LVR,WR,266,266,266,1
511,"Broncos, Denver",DEN,Def,267,267,267,1
13772,"Schultz, Dalton",DAL,TE,268,268,268,1
12386,"Brown, Malcolm",MIA,RB,269,269,269,1
12155,"Abdullah, Ameer",MIN,RB,270,270,270,1
13645,"Smith, Tre'Quan",NOS,WR,271,271,271,1
524,"Vikings, Minnesota",MIN,Def,272,272,272,1
14858,"Jefferson, Van",LAR,WR,273,273,273,1
11192,"Bell, Le'Veon",FA*,RB,274,274,274,1
13980,"Badgley, Mike",LAC,PK,275,275,275,1
8153,"Gould, Robbie",SFO,PK,276,276,276,1
9899,"McCoy, Colt",ARI,QB,277,277,277,1
15268,"Hawkins, Javian",ATL,RB,278,278,278,1
14873,"Okwuegbunam, Albert",DEN,TE,279,279,279,1
15260,"Patterson, Jaret",WAS,RB,280,280,280,1
508,"Titans, Tennessee",TEN,Def,281,281,281,1
12956,"Lutz, Wil",NOS,PK,282,282,282,1
15295,"Surratt, Sage",DET,WR,283,283,283,1
515,"Seahawks, Seattle",SEA,Def,284,284,284,1
11947,"McManus, Brandon",DEN,PK,285,285,285,1
14875,"Bryant, Harrison",CLE,TE,286,286,286,1
8930,"Prater, Matt",ARI,PK,287,287,287,1
519,"Cardinals, Arizona",ARI,Def,288,288,288,1
13612,"Johnson, Kerryon",PHI,RB,289,289,289,1
9075,"Jackson, DeSean",LAR,WR,290,290,290,1
13718,"Carlson, Daniel",LVR,PK,291,291,291,1
14244,"Gay, Matt",LAR,PK,292,292,292,1
11936,"Boswell, Chris",PIT,PK,293,293,293,1
527,"Panthers, Carolina",CAR,Def,294,294,294,1
8742,"Crosby, Mason",GBP,PK,295,295,295,1
8359,"Gostkowski, Stephen",TEN,PK,296,296,296,1
526,"Falcons, Atlanta",ATL,Def,297,297,297,1
509,"Jaguars, Jacksonville",JAC,Def,298,298,298,1
11945,"Santos, Cairo",CHI,PK,299,299,299,1
13863,"Pringle, Byron",KCC,WR,300,300,300,1
12860,"Fairbairn, Ka'imi",HOU,PK,301,301,301,1
14097,"Ollison, Qadree",ATL,RB,302,302,302,1
14127,"Meyers, Jakobi",NEP,WR,303,303,303,1
9662,"Edelman, Julian",FA,WR,304,304,304,1
14600,"Slye, Joey",CAR,PK,306,306,306,1
