 player, player_id, team,min,max,awb,count,week
"Eskridge, D'Wayne",15302,SEA,0,15,4.2,3,0
"McKinnon, Jerick",11761,KCC,0,16,4.1,8,0
"Akins, Jordan",13753,HOU,0,15,4.1,12,0
"Williams, Tyrell",12391,DET,3,5,4,2,0
"Brown, Malcolm",12386,MIA,0,9,4,2,0
"Hill, Justice",14086,BAL,0,20,4,4,0
"Jones, Xavier",14818,LAR,0,15,3.9,7,0
"Patterson, Cordarrelle",11225,ATL,0,16,3.9,33,0
"Jackson, Justin",13620,LAC,1,8,3.8,4,0
"Okwuegbunam, Albert",14873,DEN,0,11,3.8,11,0
"Cephus, Quintez",14850,DET,0,10,3.6,7,0
"Humphries, Adam",12505,WAS,1,6,3.5,2,0
"Smith, Tre'Quan",13645,NOS,0,7,3.5,1,0
"Guyton, Jalen",14337,LAC,2,5,3.5,2,0
"Peoples-Jones, Donovan",14857,CLE,0,15,3.4,18,0
"Slayton, Darius",14122,NYG,0,8,3.3,2,0
"Collins, Alex",12628,SEA,0,27,3.2,8,0
"Renfrow, Hunter",14123,LVR,0,15,3.1,16,0
"Rogers, Chester",12934,TEN,3,3,3,1,0
"Dissly, Will",13763,SEA,0,7,3,2,0
"Freeman, Royce",13617,CAR,0,8,2.8,7,0
"Ballage, Kalen",13621,PIT,1,5,2.7,3,0
"Watkins, Sammy",11670,BAL,0,11,2.7,5,0
"Conley, Chris",12257,HOU,0,5,2.5,1,0
"Knox, Dawson",14143,BUF,2,3,2.5,2,0
"McPherson, Evan",15368,CIN,0,20,2.5,6,0
"Evans, Chris",15275,CIN,1,5,2.5,8,0
"Harris, Jacob",15425,LAR,0,5,2.5,1,0
"Perine, Samaje",13133,CIN,0,6,2.4,3,0
"Sherfield, Trent",13893,SFO,0,10,2.3,3,0
"Huntley, Tyler",14789,BAL,0,5,2.2,2,0
"Gould, Robbie",8153,SFO,0,5,2.1,8,0
"Hill, Kylin",15265,GBP,0,6,2,7,0
"Wallace, Tylan",15285,BAL,1,3,2,2,0
"Trubisky, Mitchell",13115,BUF,1,3,2,2,0
"Ollison, Qadree",14097,FA,1,3,2,2,0
"Breida, Matt",13378,BUF,0,3,2,2,0
"Lazard, Allen",13632,GBP,0,5,2,2,0
"Rudolph, Kyle",10312,NYG,0,5,1.8,3,0
"Dallas, DeeJay",14815,SEA,0,7,1.6,3,0
"Granson, Kylen",15419,IND,0,6,1.6,4,0
"Newton, Cam",10273,FA*,0,4,1.5,2,0
"Tucker, Justin",10976,BAL,1,2,1.5,2,0
"Prater, Matt",8930,ARI,0,5,1.3,4,0
"Jefferson, Jermar",15262,DET,1,2,1.3,3,0
"Gay, Matt",14244,LAR,0,10,1.2,7,0
"Doyle, Jack",11516,IND,0,3,1.2,3,0
"Strachan, Mike",15478,IND,0,4,1.2,3,0
"Uzomah, C.J.",12317,CIN,0,3,1.2,2,0
