 player, player_id, team,min,max,awb,count,week
"Huntley, Tyler",14789,BAL,0,0,0,0,4
"Butker, Harrison",13354,KCC,0,0,0,0,4
"Hopkins, Dustin",11387,WAS,0,0,0,0,4
"Prater, Matt",8930,ARI,0,0,0,0,4
"Gonzalez, Zane",13347,CAR,0,0,0,0,4
"Eason, Jacob",14780,IND,0,0,0,0,4
"Gano, Graham",9694,NYG,0,0,0,0,4
"Funk, Jake",15480,LAR,0,0,0,0,4
"Santos, Cairo",11945,CHI,0,0,0,0,4
"McFarland, Anthony",14804,PIT,0,0,0,0,4
