,team_name,abbreviation,TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED
16,Washington Wizards,WAS,1610612764,2023,00,Mike Muscala,Mike,mike-muscala,35,F-C,6-11,240,"JUL 01, 1991",32.0,10,Bucknell,203488,Traded from BOS on 06/23/23
17,Washington Wizards,WAS,1610612764,2023,00,Delon Wright,Delon,delon-wright,55,G,6-5,185,"APR 26, 1992",31.0,8,Utah,1626153,Signed on 07/06/22
18,Washington Wizards,WAS,1610612764,2023,00,Taj Gibson,Taj,taj-gibson,67,F,6-9,232,"JUN 24, 1985",38.0,14,Southern California,201959,Signed on 07/19/22
19,Washington Wizards,WAS,1610612764,2023,00,Danilo Gallinari,Danilo,danilo-gallinari,88,F,6-10,236,"AUG 08, 1988",35.0,13,Olimpia Milano,201568,Traded from BOS on 06/23/23
20,Washington Wizards,WAS,1610612764,2023,00,Eugene Omoruyi,Eugene,eugene-omoruyi,97,F,6-6,235,"FEB 14, 1997",26.0,2,Oregon,1630647,Signed on 07/12/23
0,Detroit Pistons,DET,1610612765,2023,00,Tosan Evbuomwan,Tosan,tosan-evbuomwan,,F,6-8,217,"FEB 16, 2001",22.0,R,Princeton,1641787,Signed on 07/25/23
1,Detroit Pistons,DET,1610612765,2023,00,Ausar Thompson,Ausar,ausar-thompson,,G-F,6-7,205,"JAN 30, 2003",20.0,R,Overtime Elite,1641709,#5 Pick in 2023 Draft
2,Detroit Pistons,DET,1610612765,2023,00,Marcus Sasser,Marcus,marcus-sasser,,G,6-2,195,"SEP 21, 2000",22.0,R,Houston,1631204,Draft Rights Traded from BOS on 06/28/23
3,Detroit Pistons,DET,1610612765,2023,00,Malcolm Cazalon,Malcolm,malcolm-cazalon,,G,6-6,185,"AUG 27, 2001",21.0,R,Mega Basket,1630608,Signed on 07/02/23
4,Detroit Pistons,DET,1610612765,2023,00,Jalen Duren,Jalen,jalen-duren,0,C,6-11,250,"NOV 18, 2003",19.0,1,Memphis,1631105,Draft Rights Traded from NYK on 07/06/22
5,Detroit Pistons,DET,1610612765,2023,00,Cade Cunningham,Cade,cade-cunningham,2,G,6-7,220,"SEP 25, 2001",21.0,2,Oklahoma State,1630595,#1 Pick in 2021 Draft
6,Detroit Pistons,DET,1610612765,2023,00,Alec Burks,Alec,alec-burks,5,G,6-6,214,"JUL 20, 1991",32.0,12,Colorado,202692,Traded from NYK on 07/11/22
7,Detroit Pistons,DET,1610612765,2023,00,Killian Hayes,Killian,killian-hayes,7,G,6-5,195,"JUL 27, 2001",22.0,3,Ratiopharm Ulm,1630165,#7 Pick in 2020 Draft
8,Detroit Pistons,DET,1610612765,2023,00,Jared Rhoden,Jared,jared-rhoden,8,G,6-6,210,"AUG 27, 1999",23.0,1,Seton Hall,1631197,Signed on 12/26/22
9,Detroit Pistons,DET,1610612765,2023,00,Isaiah Livers,Isaiah,isaiah-livers,12,F,6-6,232,"JUL 28, 1998",25.0,2,Michigan,1630587,#42 Pick in 2021 Draft
10,Detroit Pistons,DET,1610612765,2023,00,Joe Harris,Joe,joe-harris,12,G-F,6-6,220,"SEP 06, 1991",31.0,9,Virginia,203925,Traded from BKN on 07/06/23
11,Detroit Pistons,DET,1610612765,2023,00,James Wiseman,James,james-wiseman,13,C,7-0,240,"MAR 31, 2001",22.0,2,Memphis,1630164,Traded from GSW on 02/09/23
12,Detroit Pistons,DET,1610612765,2023,00,Stanley Umude,Stanley,stanley-umude,14,G,6-6,210,"APR 12, 1999",24.0,1,Arkansas,1630649,Signed on 09/25/22
13,Detroit Pistons,DET,1610612765,2023,00,Monte Morris,Monte,monte-morris,22,G,6-2,183,"JUN 27, 1995",28.0,6,Iowa State,1628420,Traded from WAS on 07/06/23
14,Detroit Pistons,DET,1610612765,2023,00,Jaden Ivey,Jaden,jaden-ivey,23,G,6-4,195,"FEB 13, 2002",21.0,1,Purdue,1631093,#5 Pick in 2022 Draft
15,Detroit Pistons,DET,1610612765,2023,00,Buddy Boeheim,Buddy,buddy-boeheim,27,F,6-6,205,"NOV 11, 1999",23.0,1,Syracuse,1631205,Signed on 07/02/22
16,Detroit Pistons,DET,1610612765,2023,00,Isaiah Stewart,Isaiah,isaiah-stewart,28,F-C,6-8,250,"MAY 22, 2001",22.0,3,Washington,1630191,Draft Rights Traded from HOU on 11/24/20
17,Detroit Pistons,DET,1610612765,2023,00,Marvin Bagley III,Marvin,marvin-bagley-iii,35,F,6-10,235,"MAR 14, 1999",24.0,5,Duke,1628963,Traded from SAC on 02/10/22
18,Detroit Pistons,DET,1610612765,2023,00,Bojan Bogdanovic,Bojan,bojan-bogdanovic,44,F,6-7,226,"APR 18, 1989",34.0,9,Fenerbahce,202711,Traded from UTA on 09/22/22
0,Charlotte Hornets,CHA,1610612766,2023,00,Brandon Miller,Brandon,brandon-miller,,F,6-9,200,"NOV 22, 2002",20.0,R,Alabama,1641706,#2 Pick in 2023 Draft
1,Charlotte Hornets,CHA,1610612766,2023,00,Nick Smith Jr.,Nick,nick-smith-jr,,G,6-5,185,"APR 18, 2004",19.0,R,Arkansas,1641733,#27 Pick in 2023 Draft
2,Charlotte Hornets,CHA,1610612766,2023,00,Amari Bailey,Amari,amari-bailey,,G,6-5,185,"FEB 17, 2004",19.0,R,UCLA,1641735,#41 Pick in 2023 Draft
3,Charlotte Hornets,CHA,1610612766,2023,00,Leaky Black,Leaky,leaky-black,,F,6-9,209,"JUN 14, 1999",24.0,R,North Carolina,1641778,Signed on 07/19/23
4,Charlotte Hornets,CHA,1610612766,2023,00,James Nnaji,James,james-nnaji,,F,6-11,250,"AUG 14, 2004",19.0,R,FC Barcelona,1641762,Draft Rights Traded from BOS on 06/28/23
5,Charlotte Hornets,CHA,1610612766,2023,00,Miles Bridges,Miles,miles-bridges,0,F,6-7,225,"MAR 21, 1998",25.0,4,Michigan State,1628970,Draft Rights Traded from LAC on 06/21/18
6,Charlotte Hornets,CHA,1610612766,2023,00,LaMelo Ball,LaMelo,lamelo-ball,1,G,6-7,180,"AUG 22, 2001",22.0,3,Illawarra,1630163,#3 Pick in 2020 Draft
7,Charlotte Hornets,CHA,1610612766,2023,00,James Bouknight,James,james-bouknight,2,G,6-4,190,"SEP 18, 2000",22.0,2,Connecticut,1630547,#11 Pick in 2021 Draft
8,Charlotte Hornets,CHA,1610612766,2023,00,Terry Rozier,Terry,terry-rozier,3,G,6-1,190,"MAR 17, 1994",29.0,8,Louisville,1626179,Traded from BOS on 07/06/19
9,Charlotte Hornets,CHA,1610612766,2023,00,Nick Richards,Nick,nick-richards,4,C,7-0,245,"NOV 29, 1997",25.0,3,Kentucky,1630208,Draft Rights Traded from NOP on 11/19/20
10,Charlotte Hornets,CHA,1610612766,2023,00,Mark Williams,Mark,mark-williams,5,C,7-0,240,"DEC 16, 2001",21.0,1,Duke,1631109,#15 Pick in 2022 Draft
11,Charlotte Hornets,CHA,1610612766,2023,00,Bryce McGowens,Bryce,bryce-mcgowens,7,G,6-6,175,"NOV 08, 2002",20.0,1,Nebraska,1631121,Draft Rights Traded from MIN on 06/24/22
12,Charlotte Hornets,CHA,1610612766,2023,00,Theo Maledon,Theo,theo-maledon,9,G,6-5,175,"JUN 12, 2001",22.0,3,Asvel,1630177,Signed on 10/15/22
13,Charlotte Hornets,CHA,1610612766,2023,00,Cody Martin,Cody,cody-martin,11,F,6-6,205,"SEP 28, 1995",27.0,4,Nevada,1628998,#36 Pick in 2019 Draft
14,Charlotte Hornets,CHA,1610612766,2023,00,Kelly Oubre Jr.,Kelly,kelly-oubre-jr,12,F-G,6-6,203,"DEC 09, 1995",27.0,8,Kansas,1626162,Signed on 08/07/21
15,Charlotte Hornets,CHA,1610612766,2023,00,Svi Mykhailiuk,Svi,svi-mykhailiuk,17,G-F,6-7,205,"JUN 10, 1997",26.0,5,Kansas,1629004,Traded from NYK on 02/09/23
16,Charlotte Hornets,CHA,1610612766,2023,00,Gordon Hayward,Gordon,gordon-hayward,20,F,6-7,225,"MAR 23, 1990",33.0,13,Butler,202330,Traded from BOS on 11/29/20
17,Charlotte Hornets,CHA,1610612766,2023,00,Frank Ntilikina,Frank,frank-ntilikina,21,G,6-4,200,"JUL 28, 1998",25.0,6,Strasbourg IG,1628373,Signed on 08/05/23
18,Charlotte Hornets,CHA,1610612766,2023,00,JT Thor,JT,jt-thor,21,F,6-9,203,"AUG 26, 2002",20.0,2,Auburn,1630550,Draft Rights Traded from DET on 08/06/21
19,Charlotte Hornets,CHA,1610612766,2023,00,Kobi Simmons,Kobi,kobi-simmons,23,G,6-5,180,"JUL 04, 1997",26.0,3,Arizona,1628424,Signed on 09/16/19
20,Charlotte Hornets,CHA,1610612766,2023,00,Kai Jones,Kai,kai-jones,23,C-F,6-11,221,"JAN 19, 2001",22.0,2,Texas,1630539,Draft Rights Traded from NYK on 07/30/21
21,Charlotte Hornets,CHA,1610612766,2023,00,P.J. Washington,P.J.,pj-washington,25,F,6-7,230,"AUG 23, 1998",24.0,4,Kentucky,1629023,#12 Pick in 2019 Draft
